id,catalogue_id,gaussian_id,source_id,tile_id,sbid,obs_start_time,n_gaus,ra,dec,e_ra,e_dec,total_flux_gaussian,e_total_flux_gaussian_pybdsf,e_total_flux_gaussian,total_flux_source,e_total_flux_source_pybdsf,e_total_flux_source,peak_flux,e_peak_flux,maj,e_maj,min,e_min,pa,e_pa,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,s_code,separation_tile_centre,noise,gal_lon,gal_lat
2281242,4549,RACS_2211-25A_3697,RACS_2211-25A_3317,RACS_2211-25A,8576,58598.87694,2,333.087714,-27.097097,0.13,0.13,29.864,0.588,2.656,81.235,0.852,6.245,28.093,0.326,26.47,0.32,25.11,0.28,136.66,9.05,8.68,0.32,2.31,0.28,136.66,9.05,M,1.9808,0.321,23.619323,-54.751918
2281243,4549,RACS_2211-25A_3698,RACS_2211-25A_3318,RACS_2211-25A,8576,58598.87694,1,333.091296,-22.523024,1.07,1.21,4.351,0.683,1.055,4.351,0.683,1.055,3.76,0.354,30.68,3.26,23.6,1.97,142.08,16.46,17.76,3.26,0.0,1.97,142.08,16.46,S,2.6177,0.347,31.268431,-53.762
2281244,4549,RACS_2211-25A_3699,RACS_2211-25A_3319,RACS_2211-25A,8576,58598.87694,1,333.103146,-27.72912,1.4,1.6,3.744,0.742,1.063,3.744,0.742,1.063,3.141,0.376,31.78,4.37,23.46,2.44,141.98,18.42,19.61,4.37,0.0,2.44,141.98,18.42,S,2.6108,0.368,22.539758,-54.86394
2281245,4549,RACS_2211-25A_3701,RACS_2211-25A_3320,RACS_2211-25A,8576,58598.87694,4,333.085443,-25.310233,0.13,0.33,182.125,2.779,13.537,378.296,4.436,27.343,71.667,0.801,57.97,0.81,27.4,0.25,12.61,0.83,52.3,0.81,11.21,0.25,12.61,0.83,M,0.2931,0.808,26.64939,-54.419747
2281246,4549,RACS_2211-25A_7985,RACS_2211-25A_3320,RACS_2211-25A,8576,58598.87694,4,333.071562,-25.33108,1.33,3.69,9.758,2.237,2.531,378.296,4.436,27.343,5.351,0.828,45.44,8.69,25.08,3.14,1.39,14.46,37.95,8.69,2.02,3.14,1.39,14.46,M,0.297,0.808,26.609897,-54.411754
2281247,4549,RACS_2211-25A_3700,RACS_2211-25A_3320,RACS_2211-25A,8576,58598.87694,4,333.085766,-25.308399,0.06,0.06,179.784,1.525,13.173,378.296,4.436,27.343,163.542,0.826,27.1,0.14,25.35,0.12,38.94,3.06,10.47,0.14,4.2,0.12,38.94,3.06,M,0.2922,0.808,26.652579,-54.419655
2281248,4549,RACS_2211-25A_7986,RACS_2211-25A_3320,RACS_2211-25A,8576,58598.87694,4,333.073887,-25.315104,1.99,4.79,6.629,2.151,2.357,378.296,4.436,27.343,3.856,0.832,43.12,11.4,24.92,4.39,8.83,21.32,35.13,11.4,0.0,4.39,8.83,21.32,M,0.288,0.808,26.637505,-54.410526
2281249,4549,RACS_2211-25A_3702,RACS_2211-25A_3321,RACS_2211-25A,8576,58598.87694,1,333.094211,-24.715279,1.02,1.7,3.171,0.601,0.94,3.171,0.601,0.94,2.9,0.319,31.91,4.25,21.42,1.95,157.83,13.32,0.0,4.25,0.0,1.95,0.0,13.32,S,0.4787,0.322,27.649975,-54.300918
2281250,4549,RACS_2211-25A_3704,RACS_2211-25A_3323,RACS_2211-25A,8576,58598.87694,1,333.099557,-27.422282,1.6,2.16,1.985,0.608,0.882,1.985,0.608,0.882,2.086,0.359,27.73,5.43,21.47,3.24,153.46,30.44,0.0,5.43,0.0,3.24,0.0,30.44,S,2.3052,0.368,23.06556,-54.814193
2281251,4549,RACS_2211-25A_3705,RACS_2211-25A_3324,RACS_2211-25A,8576,58598.87694,1,333.08612,-22.355761,0.92,1.22,6.371,0.863,1.281,6.371,0.863,1.281,4.728,0.405,31.38,2.87,26.87,2.16,4.17,24.43,18.93,2.87,9.84,2.16,4.17,24.43,S,2.7839,0.384,31.538431,-53.712051
2281252,4549,RACS_2211-25A_3706,RACS_2211-25A_3325,RACS_2211-25A,8576,58598.87694,2,333.082248,-22.986651,0.55,0.48,7.725,0.667,1.236,12.137,1.241,1.833,8.03,0.395,25.62,1.32,23.48,1.1,73.67,23.51,0.0,1.32,0.0,1.1,0.0,23.51,M,2.1555,0.399,30.50722,-53.876403
2281253,4549,RACS_2211-25A_3707,RACS_2211-25A_3325,RACS_2211-25A,8576,58598.87694,2,333.077982,-22.982336,3.19,4.79,4.412,1.046,1.322,12.137,1.241,1.833,2.338,0.358,59.21,13.4,19.94,2.07,146.77,9.37,53.67,13.4,0.0,2.07,146.77,9.37,M,2.1593,0.399,30.512562,-53.871493
2281254,4549,RACS_2211-25A_3709,RACS_2211-25A_3327,RACS_2211-25A,8576,58598.87694,1,333.085576,-24.954213,1.01,1.52,6.006,1.014,1.37,6.006,1.014,1.37,4.906,0.506,31.64,3.68,24.18,2.21,162.92,17.69,0.0,3.68,0.0,2.21,0.0,17.69,S,0.2905,0.491,27.24713,-54.345096
2281255,4549,RACS_2211-25A_3710,RACS_2211-25A_3328,RACS_2211-25A,8576,58598.87694,1,333.088394,-27.966328,0.61,0.55,9.261,0.783,1.39,9.261,0.783,1.39,8.134,0.413,28.22,1.51,25.24,1.22,120.73,19.31,13.09,1.51,3.32,1.22,120.73,19.31,S,2.8459,0.402,22.128566,-54.885504
2281256,4549,RACS_2211-25A_3711,RACS_2211-25A_3329,RACS_2211-25A,8576,58598.87694,1,333.085654,-25.447404,1.12,1.19,10.203,1.619,2.024,10.203,1.619,2.024,8.416,0.818,29.43,3.04,25.74,2.36,141.62,31.47,15.53,3.04,6.15,2.36,141.62,31.47,S,0.3927,0.788,26.418596,-54.447951
2281257,4549,RACS_2211-25A_3712,RACS_2211-25A_3330,RACS_2211-25A,8576,58598.87694,1,333.090787,-28.223235,2.15,3.17,3.546,1.014,1.26,3.546,1.014,1.26,2.356,0.435,37.36,8.08,25.22,3.98,153.51,23.41,27.74,8.08,3.22,3.98,153.51,23.41,S,3.1022,0.417,21.686595,-54.92339
2281258,4549,RACS_2211-25A_3716,RACS_2211-25A_3333,RACS_2211-25A,8576,58598.87694,1,333.075824,-26.765713,0.14,0.12,33.457,0.616,2.908,33.457,0.616,2.908,28.146,0.315,29.53,0.36,25.17,0.26,119.7,2.97,15.72,0.36,2.82,0.26,119.7,2.97,S,1.6508,0.305,24.181885,-54.685965
2281259,4549,RACS_2211-25A_3717,RACS_2211-25A_3334,RACS_2211-25A,8576,58598.87694,1,333.073725,-27.255144,0.03,0.03,144.197,0.659,10.614,144.197,0.659,10.614,125.331,0.346,28.2,0.08,25.52,0.07,11.54,1.07,13.01,0.08,5.11,0.07,11.54,1.07,S,2.1366,0.336,23.345536,-54.76518
2281260,4549,RACS_2211-25A_3718,RACS_2211-25A_3335,RACS_2211-25A,8576,58598.87694,1,333.078418,-26.646575,1.89,2.16,1.357,0.436,0.738,1.357,0.436,0.738,1.403,0.254,28.12,5.84,21.49,3.39,142.4,30.65,0.0,5.84,0.0,3.39,0.0,30.65,S,1.5331,0.26,24.385527,-54.667648
2281261,4549,RACS_2211-25A_3719,RACS_2211-25A_3336,RACS_2211-25A,8576,58598.87694,1,333.076632,-27.510787,1.85,2.77,4.97,0.954,1.276,4.97,0.954,1.276,2.469,0.331,45.4,7.18,27.74,3.15,152.07,14.6,37.89,7.18,12.01,3.15,152.07,14.6,S,2.3912,0.317,22.908368,-54.807778
2281262,4549,RACS_2211-25A_3721,RACS_2211-25A_3338,RACS_2211-25A,8576,58598.87694,1,333.064108,-22.435613,0.37,0.47,11.288,0.706,1.471,11.288,0.706,1.471,10.424,0.384,28.87,1.17,23.48,0.78,153.52,7.92,0.0,1.17,0.0,0.78,0.0,7.92,S,2.7027,0.38,31.399241,-53.714192
2281263,4549,RACS_2211-25A_3722,RACS_2211-25A_3339,RACS_2211-25A,8576,58598.87694,1,333.061431,-23.331617,0.64,0.61,9.815,0.796,1.429,9.815,0.796,1.429,7.68,0.387,30.9,1.69,25.86,1.21,131.24,12.52,18.16,1.69,6.59,1.21,131.24,12.52,S,1.8105,0.371,29.932665,-53.945905
